valDate,ticker,description,coupon,maturityDate,callDate,couponFrequency,currency,par,marketValue,marketWeight,indexQuality,accruedInterest
Oct-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1982/9/1,2,USD,33.3,12.13227,0.00222,BBB,0.40625
Oct-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1982/10/1,2,USD,33,14.12004,0.00258,BBB,0
Oct-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1982/10/1,2,USD,31.4,13.38802,0.00245,BBB,0
Oct-81,ITI,Ivory Tag Inc.,7,1998/11/1,1981/11/1,2,USD,26.1,12.08734,0.00221,BBB,2.91667
Nov-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,50.18166,0.00878,BBB,3.36111
Nov-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,29.94921,0.00524,AA,1.27083
Nov-81,VIG,Vigko,9.2,1999/10/15,1982/10/15,2,USD,104.5,67.0732,0.01173,AA,0.40889
Nov-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,156.1498,0.02732,AAA,0.36111
Nov-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,125.6599,0.02198,A,5.36042
Nov-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,32.45885,0.00568,AA,3.16667
Nov-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1982/9/1,2,USD,33.3,12.50598,0.00219,BBB,0.8125
Nov-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1982/10/1,2,USD,33,15.23307,0.00267,BBB,0.52083
Nov-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1982/10/1,2,USD,31.4,13.79015,0.00241,BBB,0.54167
Nov-81,ITI,Ivory Tag Inc.,7,1998/11/1,1982/11/1,2,USD,26.1,11.3441,0.00198,BBB,0
Dec-81,BVU,Buvvu Inc.,10,1985/6/30,,2,USD,60,54.93686,0.00886,BBB,4.19444
Dec-81,VIG,Vigko,7.625,1996/3/1,,2,USD,41.8,31.36348,0.00506,AA,1.90625
Dec-81,VIG,Vigko,9.2,1999/10/15,1982/10/15,2,USD,104.5,76.17063,0.01228,AA,1.17555
Dec-81,BLLA,Bluealla Co.,8.125,2007/10/15,1987/10/15,2,USD,287.60001,173.46359,0.02797,AAA,1.03819
Dec-81,BPE,Boneppe Tires,11.625,2010/5/15,1982/5/15,2,USD,159,130.63699,0.02107,A,0.51667
Dec-81,TREE,Treecelesta,9.5,1984/7/1,,2,USD,35.9,34.37472,0.00554,AA,3.95833
Dec-81,ITI,Ivory Tag Inc.,4.875,1995/9/1,1982/9/1,2,USD,33.3,14.81975,0.00239,BBB,1.21875
Dec-81,ITI,Ivory Tag Inc.,6.25,1996/10/1,1982/10/1,2,USD,33,16.62199,0.00268,BBB,1.04167
Dec-81,ITI,Ivory Tag Inc.,6.5,1997/10/1,1982/10/1,2,USD,31.4,15.95884,0.00257,BBB,1.08333
Dec-81,ITI,Ivory Tag Inc.,7,1998/11/1,1982/11/1,2,USD,26.1,13.0801,0.00211,BBB,0.58333
